id,name,type,number
1,MP存储,%,20
2,速度,%,20
3,物理护甲,0,1
4,物理抵抗,%,10
5,法术护甲,0,1
6,法术抵抗,%,10
7,精神护甲,0,1
8,精神抵抗,%,10
9,体格,0,1
10,威能,0,1
11,理智,0,1
12,寿命,%,25
13,属性修正,0,6
14,属性成长,%,100
15,负重,%,25
16,阻挡,0,5
17,收入,%,20
18,支出,%,20
19,物理对抗威力,0,1
20,法术对抗威力,0,1
21,精神对抗威力,0,1
22,物理伤害,%,25
23,法术伤害,%,25
24,精神伤害,%,25
25,命中率,%,20
26,会心伤害,%,50
27,暴击率,%,20
28,暴击伤害,%,50
29,闪避率,%,20
30,反击伤害,%,50
31,受效果强度,0,1
32,受效果持续,0,2
33,施效率,%,20
34,施效果强度,0,1
35,施效果持续,0,2
36,抗性修正,0,6
37,抗性成长,%,100
38,豁免,0,10
39,扭曲,0,5
40,失常倾向（善良/中立/敌对）,%,10
41,失常修正（善良/中立/敌对）,0,6
42,失常成长,%,100
43,扭曲恢复,%,100
44,技巧回转,%,100
45,技能点修正,%,25
46,特质点修正,%,25
47,等级,0,2
48,经验成长,%,100
49,天赋点（战斗/交涉/技术）,0,1
50,通用天赋点,0,1
51,物品浪费,%,100
52,装备损耗,%,100
53,神秘亵渎,%,20
54,知识污染,%,20
55,轮回能力,%,20
56,基因变异,%,20
57,神秘等级,0,1
58,因果律,%,10
59,穿越者,/,0
60,其他血统,/,0
