20251113
id,maintype,subtype,name,cost,rarity,weight,need,tags,skill,description
001,兵器,格斗,空手,0,凡物,0,单手,招架,格斗,打击1-3 [命中时] 5%施加混乱I 1-3;招架1-3 [招架时] 仅抵消50%伤害
002,兵器,格斗,拳套,1000,凡物,1,单手,招架,格斗,打击1-3 [命中时] 10%施加混乱I 1-3;招架1-3
003,兵器,格斗,双截棍,4000,凡物,1,双手,招架;回转,格斗,[使用时] 50%回转25% 打击1-3;[命中时] 20%施加混乱I 1-3 招架1-3
004,兵器,格斗,指虎,5000,凡物,2,单手,招架,格斗,打击1-4 [命中时] 20%施加混乱I 1-3 10%施加流血I 1-3;招架1-4
005,兵器,锤,木槌,3000,凡物,1,单手,震颤,格斗,打击1-3 [命中时] 10%施加混乱I 1-3
006,兵器,锤,家具锤,7000,凡物,10,单手,震颤;破甲,格斗,[目标装备护甲时] 目标装备提供的物理护甲-0.3;打击2-4 [命中时] 20%施加混乱I 1-3
007,兵器,锤,铁锤,12000,优良,24,单手,震颤;破甲,格斗,[目标装备护甲时] 目标装备提供的物理护甲-0.5;打击3-8 [命中时] 20%施加混乱I 1-3
008,兵器,矛,短棍,3000,凡物,3,双手,招架;回转,格斗,打击1-3 [命中时] 10%施加混乱I 1-3;突刺1-3 [命中时] 10%施加混乱I 1-3;招架2-4 [招架时] 25%回转25%
009,兵器,矛,矛,7000,凡物,8,单手,投掷,格斗,[目标装备护甲时] 威力-1 突刺1-6;[命中时] 20%施加破裂I 1-3;投掷：突刺1-6 [使用时] 暴击率+5% 威力+1
010,兵器,矛,长枪,11200,凡物,5,双手,暴击,格斗,[使用时] 暴击率+5%;突刺1-6 [命中时] 20%施加破裂I 1-3
011,兵器,矛,锲,12000,优良,14,双手,破裂,格斗,突刺2-6 [命中时] 20%施加破裂II 1-3
012,兵器,刀,小刀,5000,凡物,2,单手,无,格斗,流血0-4 [命中时] 20%施加流血I 1-3;突刺1-3 [命中时] 10%施加破裂I 1-3
013,兵器,刀,爪刀,6500,凡物,2,单手,招架,格斗,流血1-3 [命中时] 40%施加流血I 1-3;招架1-3
014,兵器,刀,手术刀,10000,精致,1,单手,流血,格斗,[目标具有流血时] 造成伤害+10%*Y;流血1-3 [命中时] 40%施加流血II 1-3;突刺1-3 [命中时] 40%施加破裂II 1-3
015,兵器,刀,刺刀,11000,凡物,2,单手,刺杀,格斗,[刺杀时] 伤害+50%;流血1-4 [命中时] 20%施加流血I 1-3;突刺1-4 [命中时] 10%施加破裂I 1-3
016,兵器,刀,袖剑,11200,优良,5,外设,刺杀,格斗,[刺杀时] 伤害+50%;突刺1-4 [命中时] 20%施加破裂I 1-3;蓄力：突刺2-6 [命中时] 20%施加破裂II 1-3;[暴击时] 目标物理护甲-1
017,兵器,剑,木剑,5000,凡物,12,双手,战术,白刃,流血1-4 [命中时] 10%施加流血I 1-3;打击2-4 [命中时] 10%施加混乱I 1-3;突刺1-4 [命中时] 10%施加破裂I 1-3 招架2-5
018,兵器,剑,铁剑,9000,凡物,20,双手,战术,白刃,流血2-6 [命中时] 15%施加流血I 1-3;打击3-6 [命中时] 15%施加混乱I 1-3;突刺2-6 [命中时] 15%施加破裂I 1-3 招架3-7
019,兵器,剑,木刺,3000,凡物,6,单手,弱甲,白刃,[目标装备护甲时] 威力-1;[招架行动时] 威力-1;突刺1-4 [命中时] 20%施加破裂I 1-3
020,兵器,剑,刺剑,6500,凡物,8,单手,弱甲,白刃,[目标装备护甲时] 威力-1;[招架行动时] 威力-1;突刺2-6 [命中时] 30%施加破裂I 1-3
021,兵器,剑,迅捷剑,12000,优良,10,单手,高速,白刃,[轮次开始时] CP+3;[目标装备护甲时] 威力-1;[招架行动时] 威力-1;突刺2-6 [命中时] 40%施加破裂I 1-3
022,兵器,剑,风剑,30000,优良,6,双手,高速,白刃,[轮次开始时] CP+5;[目标装备护甲时] 威力-1;[招架行动时] 威力-1;[对抗时] 威力+1;突刺2-8 [命中时] 40%施加破裂II 1-3
023,兵器,剑,木架,4000,凡物,4,双手,招架,格斗,打击1-4 [命中时] 10%施加混乱I 1-3;招架2-5
024,兵器,剑,十字剑,10000,优良,10,双手,招架,白刃,流血2-6 [命中时] 20%施加流血I 1-3;打击2-6 [命中时] 20%施加混乱I 1-3;招架3-7
025,兵器,剑,圣剑,30000,精致,13,双手,招架,白刃,流血2-8 [命中时] 20%施加流血II 1-3;打击3-6 [命中时] 20%施加混乱II 1-3;招架5-9
026,兵器,鞭,皮鞭,9000,凡物,5,单手,对群,器械,群体3打击1-4 [命中时] 20%施加混乱I 1-3;招架0-5
027,兵器,鞭,强化鞭,15500,凡物,8,单手,对群,器械,群体3打击2-6 [命中时] 20%施加混乱I 1-3;招架0-8
028,兵器,盾,木盾,5000,凡物,6,单手,招架;回转,格斗,打击1-4 [命中时] 20%施加混乱I 1-3;招架2-6 [招架时] 25%回转50%
029,兵器,盾,铁盾,10000,凡物,10,单手,招架;回转,格斗,打击2-4 [命中时] 20%施加混乱I 1-3;招架3-8 [招架时] 25%回转50%
030,兵器,盾,肩盾,8000,凡物,6,外设,招架;回转,格斗,招架2-6 [招架时] 25%回转50%
031,兵器,盾,长盾,10000,凡物,24,双手,招架;回转,格斗,打击2-6 [命中时] 20%施加混乱II 1-3;招架4-12 [招架时] 25%回转50%
032,兵器,盾,剑盾,22000,优良,28,双手,破裂;回转,格斗,突刺2-6 [命中时] 20%施加混乱I 1-3 20%施加破裂I 1-3;招架4-12 [招架时] 25%回转50% 20%造成0突刺伤害并施加破裂I 1-3
033,道具,投掷物,飞镖,600,凡物,0.5,携带,多动,投掷,[使用时] 选择重复1-3次;流血1-4 [命中时] 20%施加流血I 1-3
034,道具,投掷物,飞针,600,凡物,0.5,携带,多动,投掷,[使用时] 选择重复1-3次;突刺1-4 [命中时] 20%施加破裂I 1-3
035,道具,投掷物,飞石,600,凡物,0.5,携带,多动,投掷,[使用时] 选择重复1-3次;打击1-4 [命中时] 20%施加混乱I 1-3
036,道具,投掷物,火信子,2500,凡物,1,携带,战术,投掷,燃烧1-10 对抗威力+2
037,道具,投掷物,烟雾瓶,1000,凡物,1,携带,战术,投掷,致盲1
038,道具,投掷物,燃烧瓶,1000,凡物,1,携带,战术,投掷,燃烧0 40%燃烧
039,道具,弹药,木箭矢,60,凡物,0.2,携带,混乱,无,打击0 [命中时] 10%施加混乱I 1-3
040,道具,弹药,钨箭矢,80,凡物,0.2,携带,流血,无,流血0-1 [命中时] 10%施加流血I 1-3
041,道具,弹药,铁箭矢,80,凡物,0.2,携带,破裂,无,突刺0-1 [命中时] 10%施加破裂I 1-3
042,道具,弹药,火药,60,凡物,0.2,携带,燃烧,无,燃烧0 [命中时] 10%施加燃烧I 1-3
043,道具,弹药,钨弹,200,凡物,0.2,携带,流血,无,流血0 [命中时] 10%施加流血I 1-3 突刺0 [命中时] 10%施加破裂I 1-3
044,道具,弹药,钨尖弹,700,凡物,0.3,携带,破裂,无,突刺0 [命中时] 20%施加破裂I 1-3
045,道具,弹药,钨包弹,700,凡物,0.8,携带,混乱,无,打击0 [命中时] 20%施加混乱I 1-3
046,道具,弹药,空包弹,200,凡物,1,携带,混乱,无,打击-5 [命中时] 50%施加混乱II 1-3
047,道具,特殊,铜币,1,凡物,0,无,特殊,无,价值1铜币
048,道具,特殊,刻银币,25,优良,0,无,特殊,无,价值25铜币
049,道具,特殊,半银币,50,优良,0,无,特殊,无,价值50铜币
050,道具,特殊,银币,100,优良,0,无,特殊,无,价值1银币
051,道具,特殊,刻金币,2500,精致,0,无,特殊,无,价值25银币
052,道具,特殊,半金币,5000,精致,0,无,特殊,无,价值50银币
053,道具,特殊,金币,10000,精致,0,无,特殊,无,价值1金币
054,道具,特殊,铂金币,1000000,珍奇,0,无,特殊,无,价值1铂金币
055,道具,特殊,信用卡,6000,优良,0,无,特殊,无,一张信用卡，上面刻着{银行名&用户名}的文本
056,道具,特殊,支票,0,优良,0,无,特殊,无,一张支票，上面写着{银行名&用户名}的文本，可以随意填入金额
057,工匠,工具,火把,200,凡物,1,携带,探索,探索,光芒+1
058,工匠,工具,木镐,2000,凡物,1,单手,镐,采集,5%镐力
059,工匠,工具,铁镐,10000,凡物,3,单手,镐,采集,10%镐力
060,工匠,工具,木钓竿,2000,凡物,1,单手,渔具,采集,5%渔力
061,工匠,工具,强化钓竿,10000,凡物,2,单手,渔具,采集,10%渔力
062,工匠,模板,模板,1000,凡物,1,无,无,锻造,该模板投入量为1-6 1-3为小型装备 3-6为大型装备 产生的装备均为金属！可购买模板：[格斗类] 拳套 锤 矛 刀 盾 [白刃类] 剑 刺剑 [射击类] 弓 弩 [格斗类] 拳套 锤 矛 刀 盾
063,炼制,药水,生命药水,500,凡物,1,无,恢复,药理,HP+6 HP恢复抑制
064,炼制,药水,魔力药水,500,凡物,1,无,恢复,药理,MP+6 MP恢复抑制
065,炼制,药水,安定药水,500,凡物,1,无,恢复,药理,SP+6 SP恢复抑制
066,炼制,药水,箭术药水,2500,凡物,1,无,增益,药理,+20%射击命中率
067,炼制,药水,战斗药水,2500,凡物,1,无,增益,药理,+20%近战命中率
068,炼制,药水,镇静药水,2500,凡物,1,无,增益,药理,+20%精神伤害抗性
069,炼制,药水,危险感药水,5000,优良,1,无,灵,药理,灵知危险
070,炼制,药水,耐力药水,5000,凡物,1,无,增益,药理,+10%物理伤害抗性
071,炼制,药水,钓鱼药水,2500,凡物,1,无,增益,药理,+10%渔力
072,炼制,药水,鱼鳃药水,2500,凡物,1,无,增益,药理,肺活量提高
073,炼制,药水,幸运药水,2500,凡物,1,无,增益,药理,+10%幸运
074,炼制,药水,爱情药水,12000,优良,1,无,特殊,药理,发情
